"","ITER_CNT","ACT_HIGH","ACT_LOW","VER_HIGH","VER_LOW","PLS_SND","PLS_REC","ACT_DUR","VER_DUR","VER_DEL","REC_SND_DIFF"
"1",0,11687.998962,11811.500617,11687.998965,11811.500621,21859793.112,10000000,123.501655,123.501655999999,3.00000101560727e-06,45.7460871142027
"2",1,11812.500778,11934.466395,11812.500782,11934.466399,21587914.209,10000000,121.965617,121.965617000002,3.99999953515362e-06,46.3222148429282
"3",2,11935.466941,12064.464004,11935.466944,12064.46401,22832480.682,10000000,128.997062999999,128.997066,2.99999919661786e-06,43.7972559323504
"4",3,12065.464192,12192.87115,12065.464195,12192.871156,22551032.097,10000000,127.406958000001,127.406960999999,3.00000101560727e-06,44.3438684180238
"5",4,12193.8718,12321.552679,12193.871803,12321.552684,22599515.937,10000000,127.680879,127.680881,2.99999919661786e-06,44.2487353617516
"6",5,12322.553005,12450.016332,12322.553009,12450.016336,22561008.879,10000000,127.463326999999,127.463327000001,3.99999953515362e-06,44.3242589621428
"7",6,12451.016871,12577.635581,12451.016874,12577.635588,22411512.378,10000000,126.618710000001,126.618713999998,3.00000101560727e-06,44.6199249356165
"8",7,12578.636308,12705.747563,12578.636312,12705.747569,22498692.489,10000000,127.111255000002,127.111256999999,4.00000135414302e-06,44.447027332318
"9",8,12706.748138,12836.435829,12706.748142,12836.435834,22954721.484,10000000,129.687690999999,129.687692,3.99999953515362e-06,43.5640223601504
"10",9,12837.436544,12965.319891,12837.436548,12965.319895,22635352.419,10000000,127.883346999999,127.883347000001,3.99999953515362e-06,44.1786803884973
"11",10,12966.320446,13089.642824,12966.32045,13089.642828,21828060.906,10000000,123.322378000001,123.322378000001,3.99999953515362e-06,45.8125897809422
"12",11,13090.64319,13215.002306,13090.643193,13215.002313,22011564.24,10000000,124.359116,124.359120000001,2.99999919661786e-06,45.4306649494166
"13",12,13216.002844,13339.423496,13216.002848,13339.423504,21845456.112,10000000,123.420651999999,123.420656,3.99999953515362e-06,45.7761099092221
"14",13,13340.424051,13464.366423,13340.424054,13464.366429,21937800.375,10000000,123.942372,123.942375000001,2.99999919661786e-06,45.5834214418135
