ITER_CNT, ACT_HIGH, ACT_LOW, VER_HIGH, VER_LOW, PLS_SND, PLS_REC
0, 29238.095673000, 29358.589845000, 29238.095677000, 29358.589848000, 21327468267000.000000, 10000000
1, 29359.589975000, 29481.229066000, 29359.589978000, 29481.229071000, 21530119461000.000000, 10000000
2, 29482.229206000, 29604.703897000, 29482.229210000, 29604.703902000, 21678020484000.000000, 10000000
3, 29605.704036000, 29732.300971000, 29605.704040000, 29732.300975000, 22407657495000.000000, 10000000
4, 29733.301162000, 29856.448150000, 29733.301166000, 29856.448155000, 21797017053000.000000, 10000000
5, 29857.448353000, 29989.058628000, 29857.448357000, 29989.058635000, 23295019206000.000000, 10000000
6, 29990.058780000, 30116.946490000, 29990.058783000, 30116.946494000, 22459124847000.000000, 10000000
7, 30117.946660000, 30245.195009000, 30117.946664000, 30245.195016000, 22522958304000.000000, 10000000
8, 30246.195786000, 30368.780283000, 30246.195790000, 30368.780286000, 21697455792000.000000, 10000000
9, 30369.780410000, 30493.688277000, 30369.780413000, 30493.688282000, 21931692813000.000000, 10000000
10, 30494.688795000, 30630.600579000, 30494.688798000, 30630.600586000, 24056386476000.000000, 10000000
11, 30631.601141000, 30754.254517000, 30631.601144000, 30754.254523000, 21709648083000.000000, 10000000
12, 30755.254853000, 30879.336956000, 30755.254857000, 30879.336963000, 21962532762000.000000, 10000000
13, 30880.337764000, 31007.329615000, 30880.337768000, 31007.329621000, 22477557981000.000000, 10000000
14, 31008.330366000, 31135.079028000, 31008.330370000, 31135.079036000, 22434513882000.000000, 10000000
15, 31136.079803000, 31262.866280000, 31136.079806000, 31262.866284000, 22441206606000.000000, 10000000
16, 31263.866751000, 31387.482266000, 31263.866755000, 31387.482273000, 21879946686000.000000, 10000000
17, 31388.482831000, 31512.186141000, 31388.482835000, 31512.186145000, 21895485870000.000000, 10000000
18, 31513.186757000, 31646.488709000, 31513.186761000, 31646.488715000, 23594445858000.000000, 10000000
19, 31647.489521000, 31782.026300000, 31647.489524000, 31782.026304000, 23813010060000.000000, 10000000
20, 31783.026791000, 31905.326105000, 31783.026796000, 31905.326109000, 21646978401000.000000, 10000000
